Solar_Power_kW,Wind_Power_kW,Heat_Demand_kW
0.0,0.0,3.515589256
0.0,0.0,3.36048973
0.0,0.0,3.463889414
0.0,0.0,3.463889414
0.0,0.0,3.412189572
0.0,0.0,3.257090046
0.0,0.0,5.682711952
0.0,0.0,5.066584516
0.059851140000000004,0.0,5.118284358
0.39961481625,0.0,0.0
0.73909696,0.0,0.0
0.934336495,0.0,0.0
0.51257784375,0.0,0.0
0.51257784375,0.0,0.0
0.33866571375,0.0,0.0
0.08440636,0.0,0.464444444
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,4.865286728
0.0,0.0,4.601285938
0.0,0.0,4.601285938
0.0,0.0,5.181841493
0.0,0.0,5.227185622
0.0,0.0,2.274793048
