hour,SoC_final,TRCU_final,QRCU_final,PS1_final,PS2_final,Ti_1_final,To_1_final,Ti_2_final,To_2_final
0.0,0.5315152629284395,0.0,0.1,23.359664548968645,23.359664548968645,0.2602214242867891,0.5383417175342828,0.2602214242867891,0.5383417175342828
1.0,0.5,0.0,0.1,21.8023535790374,21.8023535790374,0.2489540369075813,0.5085329772719088,0.2489540369075813,0.508532977271909
2.0,0.5,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.4787242370095349,0.2376866495283736,0.4787242370095349
3.0,0.5,0.0,0.1,19.46638712414054,19.46638712414054,0.2320529558387697,0.4638198668783478,0.2320529558387697,0.4638198668783478
4.0,0.5,0.0,0.1,20.24504260910616,20.24504260910616,0.2376866495283736,0.4787242370095349,0.2376866495283736,0.4787242370095349
5.0,0.5,0.0,0.1,27.25294197379676,27.25294197379676,0.2883898927348084,0.6128635681902177,0.2883898927348084,0.6128635681902177
6.0,0.5,0.0,0.1,46.71932909793729,46.71932909793729,0.429232234974905,0.9854728214698923,0.429232234974905,0.985472821469892
7.0,0.5000000470783172,1.7620298585076203e-05,0.0999999644933181,62.2926419670509,62.29264196828921,0.5419074718966314,1.2835638603616213,0.5419074718887545,1.2835638603405009
8.0,0.5000000470782515,1.7596112633170408e-05,0.0999999645986749,77.86572975319402,77.86572975577295,0.6545813451766045,1.581651261291419,0.6545813451563067,1.5816512612369915
9.0,0.5,1.7321675547760271,0.1,85.65210334621837,85.65210334621837,0.712393121836938,1.7321675547760274,0.7123931218369381,1.7321675547760274
10.0,0.5227506798161158,2.054957762409149,0.1,115.4573769429474,89.54538077104647,0.9283144224432652,2.3029506098210835,0.7408370950546271,1.806964914997216
11.0,0.7294203135175988,2.1791842154245065,0.1,93.43865819587458,93.43865819587458,0.9940571793790562,2.476745756499241,0.7691388021461011,1.881622674349772
12.0,0.6979177998490528,2.48232487031224,0.1,124.53305360215566,93.43865819587458,1.2200780512937084,3.083276662318992,0.7688889249027413,1.8813730783054865
13.0,0.6768972909519081,1.806753280050322,0.1,128.42110380462788,89.54538077104647,0.740625306625657,1.8067531269044936,0.7406255855645234,1.8067534331961503
14.0,0.5533247792992009,1.7321675547761113,0.1,85.65210334621837,85.65210334621837,0.7123931218370542,1.7321675547761546,0.7123931218369757,1.732167554776068
15.0,0.5,0.0,0.1,77.86554849656216,77.86554849656216,0.6545799825590594,1.5816476267173718,0.6545799825590594,1.5816476267173718
16.0,0.5,1.433825509735648,0.1,70.07899364690593,70.07899364690593,0.5994646100582114,1.433825509735648,0.5994646100582115,1.433825509735648
17.0,0.5,1.2846544872154586,0.1,62.29243879724972,62.29243879724972,0.5430003541688482,1.2846544872154586,0.5430003541688481,1.2846544872154586
18.0,0.5000000470782514,1.7620129882666258e-05,0.0999999643862629,54.5066115759311,54.50661166175397,0.485573454378737,1.1345278842150728,0.4855734539813582,1.1345278831495318
19.0,0.5000000470782514,1.762008857719538e-05,0.0999999642785073,46.72005672649512,46.72005681231747,0.4292365173820555,0.9854841828036842,0.4292365169846798,0.9854841817381514
20.0,0.5,0.0,0.1,38.93277424828108,38.93277424828108,0.37289529807886634,0.8364291201580225,0.37289529807886634,0.8364291201580225
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
